Disp Cluster Num:1
No.2 ,166,82,5,66,502
No.3 ,166,82,5,66,438
No.4 ,166,82,5,66,502
No.5 ,166,82,5,66,502
No.6 ,166,82,5,66,502
No.7 ,166,82,5,66,502
No.8 ,166,82,5,66,502
No.9 ,166,82,5,66,502
No.10 ,167,82,5,66,502

Disp Cluster Num:4
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,23,55,925
No.3 ,128,45,23,55,925
No.4 ,128,45,23,55,925
No.5 ,128,45,23,55,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,55,925

Disp Cluster Num:5
Center Point ,407,102,344,63,538

No.1 ,407,102,344,63,538
No.2 ,289,72,279,58,530
No.3 ,406,70,344,63,538
No.4 ,289,72,279,58,530
No.5 ,407,70,344,63,538
No.6 ,289,72,279,58,530
No.7 ,407,70,344,63,538
No.8 ,289,72,279,58,530
No.9 ,407,70,344,63,538
No.10 ,289,72,279,58,530

Disp Cluster Num:6
Center Point ,68,62,368,7,659

No.1 ,68,62,368,7,659
No.2 ,68,62,368,7,659
No.3 ,68,62,368,7,659
No.4 ,68,62,368,7,659
No.5 ,68,62,352,7,659
No.6 ,68,62,368,7,659
No.7 ,68,62,368,7,659
No.8 ,68,62,368,7,659
No.9 ,68,62,368,7,659
No.10 ,68,62,368,7,659

Disp Cluster Num:7
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,23,55,925
No.3 ,128,45,23,55,925
No.4 ,128,45,23,55,925
No.5 ,128,45,23,55,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,55,55,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,55,925

Disp Cluster Num:8
Center Point ,353,57,439,6,811

No.1 ,353,57,439,6,811
No.2 ,353,57,439,6,811
No.3 ,353,57,439,6,811
No.4 ,353,57,439,6,811
No.5 ,353,57,439,6,811
No.6 ,321,57,439,6,811
No.7 ,353,57,439,6,811
